Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA(mB),PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR. AUT(mB),PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB),TEMPERATURA DA CPU DA ESTACAO(Celsius),TEMPERATURA DO AR - BULBO SECO. HORARIA(Celsius),TEMPERATURA DO PONTO DE ORVALHO(°C),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA MINIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(Celsius),TENSAO DA BATERIA DA ESTACAO(V),UMIDADE REL. MAX. NA HORA ANT. (AUT)(%),UMIDADE REL. MIN. NA HORA ANT. (AUT)(%),UMIDADE RELATIVA DO AR. HORARIA(%),VENTO DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s);
2021-07-04,0,0,887.2,1023.8544052460059,887.2,886.9,15,13.4,6.0,13.9,13.4,6.1,5.7,12.6,61,58,61,118,10.1,7.5
2021-07-04,100,0,887.5,1026.126849,887.6,887.2,15,13.1,6.3,13.8,12.9,6.5,5.9,12.6,64,60,63,120,10.3,8.3
2021-07-04,200,0,887.3,1026.051833,887.5,887.2,14,12.8,6.3,13.2,12.7,6.4,6.1,12.6,65,63,65,129,11.3,9.4
2021-07-04,300,0,887.0,1025.652824,887.3,887.0,14,12.9,6.4,13.0,12.7,6.5,6.3,12.6,66,64,64,120,11.4,8.2
2021-07-04,400,0,886.7,1025.566714,887.3,886.7,14,12.4,6.3,13.1,12.3,6.4,6.1,12.6,66,64,66,121,9.8,5.7
2021-07-04,500,0,886.3,1025.365717,886.9,886.3,13,11.9,6.2,12.4,11.7,6.3,6.0,12.6,69,66,68,139,6.9,4.8
2021-07-04,600,0,886.0,1025.228603,886.4,886.0,13,11.5,5.8,11.9,11.5,6.2,5.8,12.5,69,68,68,133,6.4,4.9
2021-07-04,700,0,885.9,1025.376198,886.0,885.8,12,11.0,6.2,11.6,10.8,6.2,5.8,12.5,72,68,72,134,7.4,5.8
2021-07-04,800,0,886.2,1025.72343,886.2,885.9,12,11.0,5.8,11.1,10.8,6.3,5.8,12.5,72,70,70,140,7.4,5.5
2021-07-04,900,0,886.8,1026.5236029999999,886.8,886.2,12,10.8,5.7,11.2,10.6,6.0,5.5,12.4,72,70,71,146,7.4,5.7
2021-07-04,1000,0,887.4,1026.848603,887.4,886.8,11,11.5,6.0,11.5,10.7,6.0,5.5,13.2,71,69,69,135,8.9,5.1
2021-07-04,1100,0,888.0,1026.238007,888.0,887.4,13,14.0,5.7,14.1,11.5,6.9,5.7,14.4,69,57,57,123,8.9,5.3
2021-07-04,1200,0,888.7,1025.9687119999999,888.8,888.0,15,16.1,6.2,16.1,13.9,6.9,4.9,14.4,58,50,52,118,10.0,5.9
2021-07-04,1300,0,888.9,1025.389082,889.1,888.7,18,17.7,4.9,18.0,16.1,6.5,3.2,14.4,52,41,43,115,10.7,6.8
2021-07-04,1400,0,888.8,1024.323662,889.0,888.8,21,19.6,4.0,20.0,17.3,5.4,3.3,14.3,43,35,36,127,10.9,6.4
2021-07-04,1500,0,887.9,1023.236843,888.8,887.9,22,19.7,3.9,19.9,17.3,4.6,2.6,14.3,40,34,35,76,11.6,4.3
2021-07-04,1600,0,886.9,1022.631268,887.9,886.9,23,18.6,2.3,20.6,18.3,4.8,2.2,14.3,37,32,34,98,7.4,3.2
2021-07-04,1700,0,886.4,1021.5577119999999,887.0,886.4,24,19.6,2.9,20.5,18.4,4.3,2.1,14.3,37,33,33,90,6.4,3.6
2021-07-04,1800,0,886.2,1021.5255480000001,886.4,886.2,24,19.2,3.0,20.4,18.7,4.2,2.2,14.3,36,33,34,70,6.6,3.2
2021-07-04,1900,0,886.2,1021.923962,886.2,886.1,23,18.4,3.3,20.0,18.3,4.1,2.7,14.3,37,34,37,89,7.1,3.5
2021-07-04,2000,0,886.4,1023.3642869999999,886.4,886.2,22,16.0,4.2,18.4,16.0,4.2,3.0,14.4,46,37,46,104,7.8,5.4
2021-07-04,2100,0,886.9,1024.606202,886.9,886.4,19,14.7,3.9,16.0,14.5,4.2,3.8,13.1,49,46,48,113,8.0,5.7
2021-07-04,2200,0,887.3,1025.429036,887.3,886.8,17,14.0,3.6,14.8,14.0,4.0,3.5,12.7,50,47,50,125,9.4,6.8
2021-07-04,2300,0,887.9,1026.2777199999998,887.9,887.3,15,13.7,3.8,14.1,13.7,3.9,3.6,12.6,51,50,51,129,11.1,7.6
2021-07-05,0,0,888.1,1023.8544052460059,888.2,887.9,15,13.2,3.5,13.8,13.0,3.9,3.5,12.6,53,51,52,135,10.9,7.2
2021-07-05,100,0,888.5,1027.596272,888.6,888.1,14,12.5,3.2,13.4,12.4,3.4,2.9,12.6,53,50,53,139,11.5,5.7
2021-07-05,200,0,888.4,1027.637741,888.6,888.4,13,12.2,3.2,12.6,12.0,3.4,3.0,12.6,55,53,54,129,8.4,7.1
2021-07-05,300,0,888.1,1027.500702,888.4,888.1,13,11.8,3.2,12.2,11.7,3.3,3.1,12.6,56,54,55,128,9.2,6.4
2021-07-05,400,0,887.5,1026.964317,888.2,887.5,13,11.5,3.0,11.9,11.5,3.2,2.9,12.6,56,55,56,133,8.3,6.8
2021-07-05,500,0,887.1,1026.50146,887.5,887.1,12,11.5,2.6,11.7,11.3,3.1,2.6,12.6,56,54,55,140,9.7,7.1
2021-07-05,600,0,886.7,1026.091233,887.1,886.7,12,11.4,2.2,11.6,11.3,2.6,2.2,12.5,55,53,53,134,9.6,7.5
2021-07-05,700,0,886.7,1026.196612,886.8,886.6,12,11.2,2.1,11.5,11.2,2.3,2.0,12.5,54,52,53,137,9.6,7.9
2021-07-05,800,0,886.9,1026.4808369999998,886.9,886.6,12,11.1,2.4,11.3,11.0,2.4,2.0,12.5,55,53,55,138,9.7,7.8
2021-07-05,900,0,887.2,1026.88087,887.2,886.9,12,11.0,2.5,11.1,10.9,2.5,2.3,12.4,56,55,56,138,10.1,8.0
2021-07-05,1000,0,887.8,1027.41689,887.8,887.2,12,11.3,2.9,11.3,10.9,2.9,2.4,13.0,57,55,56,137,11.1,8.2
2021-07-05,1100,0,888.5,1026.971229,888.5,887.8,13,13.7,3.5,13.8,11.3,3.9,2.9,14.4,56,50,50,129,10.8,8.1
2021-07-05,1200,0,889.2,1026.596936,889.2,888.5,15,16.0,4.2,16.1,13.6,4.4,3.4,14.4,50,45,45,127,10.5,7.8
2021-07-05,1300,0,889.4,1025.965856,889.4,889.2,18,17.7,4.8,17.7,15.7,5.1,3.7,14.4,46,42,43,123,11.5,7.7
2021-07-05,1400,0,889.3,1025.548877,889.5,889.2,20,18.3,4.1,19.0,16.9,5.4,4.1,14.3,44,39,39,115,11.2,7.1
2021-07-05,1500,0,888.6,1024.0435400000001,889.3,888.6,22,19.7,5.0,20.1,18.1,5.8,3.9,14.3,41,37,38,105,10.4,4.9
2021-07-05,1600,0,887.8,1022.726248,888.6,887.8,23,20.5,4.4,21.4,19.0,5.5,3.1,14.3,39,33,35,139,7.6,1.9
2021-07-05,1700,0,887.1,1022.117095,887.8,887.1,24,20.1,4.0,21.3,18.6,5.0,2.6,14.3,37,32,35,111,6.3,3.2
2021-07-05,1800,0,886.6,1021.9866300000001,887.1,886.6,24,19.2,4.1,20.3,18.2,4.8,2.9,14.3,40,34,37,93,6.7,2.9
2021-07-05,1900,0,886.7,1022.450581,886.7,886.5,23,18.5,3.7,19.3,17.9,4.6,3.4,14.3,40,36,38,95,5.7,2.1
2021-07-05,2000,0,886.8,1023.8260939999999,886.8,886.6,22,16.0,3.6,18.9,15.9,4.2,3.4,14.4,44,37,44,105,4.7,2.9
2021-07-05,2100,0,887.1,1024.5808,887.1,886.8,19,15.2,4.4,16.1,15.2,4.7,3.4,13.0,49,43,49,98,4.8,3.2
2021-07-05,2200,0,887.3,1025.274208,887.3,887.1,17,14.3,5.4,15.1,14.2,5.9,4.5,12.6,56,49,55,114,8.9,6.9
2021-07-05,2300,0,887.7,1025.994764,887.7,887.3,16,13.8,5.4,14.4,13.8,5.6,5.2,12.6,57,55,57,130,10.0,8.0
2021-07-06,0,0,887.8,1023.8544052460059,887.9,887.7,15,13.6,5.0,14.0,13.6,5.5,4.9,12.6,57,55,56,136,10.3,7.8
2021-07-06,100,0,887.9,1026.537297,888.0,887.8,15,13.2,4.7,13.7,13.0,4.9,4.4,12.6,56,55,56,129,14.4,9.2
2021-07-06,200,0,888.0,1027.1226589999999,888.0,887.8,14,12.3,4.7,13.2,12.3,4.9,4.5,12.6,60,56,60,131,14.4,10.2
2021-07-06,300,0,887.6,1026.764764,888.0,887.6,13,12.1,4.9,12.3,11.9,5.0,4.7,12.6,62,60,61,138,12.5,9.0
2021-07-06,400,0,887.3,1026.627677,887.6,887.2,13,11.7,4.9,12.1,11.7,5.1,4.8,12.6,63,61,63,142,10.5,8.2
2021-07-06,500,0,886.7,1026.091233,887.3,886.7,13,11.4,5.4,11.7,11.4,5.5,4.9,12.5,67,63,66,136,10.5,7.6
2021-07-06,600,0,886.3,1025.733683,886.7,886.3,12,11.2,5.3,11.6,11.2,5.5,5.3,12.5,67,66,67,138,10.2,8.2
2021-07-06,700,0,886.0,1025.333819,886.3,886.0,12,11.3,5.5,11.5,11.1,5.6,5.3,12.5,68,67,67,135,11.1,8.5
2021-07-06,800,0,886.0,1025.386487,886.0,885.8,12,11.2,5.7,11.3,10.9,5.7,5.4,12.5,69,67,69,140,11.0,8.1
2021-07-06,900,0,886.5,1026.0706619999999,886.5,886.0,12,11.0,5.4,11.2,11.0,5.7,5.4,12.4,69,68,69,142,12.7,8.0
2021-07-06,1000,0,886.8,1026.365099,886.8,886.5,12,11.1,5.9,11.1,10.5,5.9,5.2,13.2,71,69,70,130,10.1,8.2
2021-07-06,1100,0,887.3,1026.365339,887.3,886.8,13,12.2,6.4,12.3,11.1,6.4,5.7,14.4,70,67,67,126,12.1,9.8
2021-07-06,1200,0,888.0,1025.825576,888.0,887.3,15,14.8,7.1,14.9,12.0,7.3,6.1,14.4,68,60,60,131,13.4,8.8
2021-07-06,1300,0,888.2,1024.581598,888.2,887.9,17,17.7,7.6,17.8,14.7,7.9,6.2,14.4,60,51,52,106,11.7,6.8
2021-07-06,1400,0,887.8,1023.519274,888.2,887.7,20,18.9,6.9,19.3,16.9,7.9,6.6,14.3,52,45,46,103,10.4,5.7
2021-07-06,1500,0,886.9,1023.0819849999999,887.8,886.9,22,17.7,4.6,20.1,17.5,7.4,3.6,14.3,47,37,42,119,7.8,2.3
2021-07-06,1600,0,885.9,1020.4883380000001,886.9,885.9,22,20.6,3.3,21.4,17.0,6.5,3.0,14.3,46,32,32,35,5.9,2.0
2021-07-06,1700,0,885.2,1020.621299,885.9,885.2,24,18.7,3.4,21.2,18.5,4.0,1.0,14.3,36,30,36,120,5.9,1.9
2021-07-06,1800,0,884.7,1019.995072,885.2,884.7,23,18.8,3.1,20.0,18.0,4.7,2.4,14.3,38,32,35,108,5.1,2.1
2021-07-06,1900,0,884.6,1020.478958,884.7,884.5,22,17.6,4.2,18.9,17.4,4.3,3.0,14.4,42,36,41,106,5.3,3.5
2021-07-06,2000,0,884.7,1021.047243,884.7,884.5,21,16.7,3.6,18.2,16.7,4.6,3.5,13.7,42,40,42,121,5.3,3.6
2021-07-06,2100,0,884.8,1021.8733070000001,884.9,884.7,19,15.3,4.4,16.7,15.3,4.6,3.6,12.9,48,42,48,141,5.3,4.6
2021-07-06,2200,0,885.2,1022.642248,885.2,884.8,18,14.7,6.9,15.5,14.6,6.9,4.3,12.7,59,48,59,129,12.2,7.9
2021-07-06,2300,0,885.6,1023.670973,885.7,885.2,16,13.6,7.3,14.7,13.6,7.4,6.8,12.6,66,59,66,136,12.2,7.7
2021-07-07,0,0,885.7,1023.8544052460059,885.8,885.6,16,13.7,7.6,13.8,13.6,7.6,7.4,12.6,67,66,67,133,10.4,8.1
2021-07-07,100,0,885.7,1023.8900980000001,885.9,885.7,15,13.4,7.6,13.7,13.3,7.7,7.5,12.6,68,67,68,132,11.8,8.7
2021-07-07,200,0,885.7,1023.8900980000001,885.9,885.7,15,13.4,7.4,13.5,13.3,7.7,7.3,12.6,68,67,67,138,11.4,7.6
2021-07-07,300,0,885.5,1023.7107060000001,885.7,885.5,15,13.3,7.1,13.6,13.3,7.4,7.1,12.6,67,66,66,140,9.4,6.9
2021-07-07,400,0,884.9,1023.432685,885.5,884.9,14,12.5,6.8,13.4,12.4,7.2,6.7,12.6,69,66,68,128,9.6,8.0
2021-07-07,500,0,884.5,1023.283287,884.9,884.5,14,11.9,6.6,12.6,11.9,6.8,6.5,12.6,70,67,70,128,10.2,8.2
